id,text,source,label,cleaned_text_1,cleaned_text_2
224,@RepSwalwell @HillaryClinton @HouseJudiciary Nothing demonstrates a clear and present danger like a 70 y/o grandma… https://t.co/NxRvQTjhQ6,twitter,0,nothing demonstrates clear present danger like 70 https,nothing demonstrates a clear and present danger like a 70 https
225,Today I found a crawfish in a public swimming pool and a 13 y/o asked me what I thought about Mia Khalifa..,twitter,0,today found crawfish public swimming pool 13 asked thought mia khalifa,today i found a crawfish in a public swimming pool and a 13 asked me what i thought about mia khalifa
226,"@ColbyBrock Lol but you look cute tho, I'm wondering when im gonna look old enough to be served at a bar when I look 12 years old",twitter,0,lol look cute tho wondering im gon na look old enough served bar look 12 years old,lol but you look cute tho i wondering when im gon na look old enough to be served at a bar when i look 12 years old
227,These 10 movies turning 10 in 2018 will make you feel old https://t.co/I3mXwVwClS,twitter,0,10 movies turning 10 2018 make feel old https,these 10 movies turning 10 in 2018 will make you feel old https
228,So so Sad ... 49 yrs Old and taken far too soon ... #RIP https://t.co/DJSqh13bOA,twitter,0,sad 49 yrs old taken far soon rip https,so so sad 49 yrs old and taken far too soon rip https
229,At 26 my knees and back ain’t shit. Fucking sad,twitter,1,26 knees back shit fucking sad,at 26 my knees and back ain t shit fucking sad
230,IF YOU DONT LIKE ME THAT MUCH THEN AT LEAST KEEP MY NAME OUT OF YOUR FUCKING MOUTH WE ARE 20 YEARS OLD &amp; CUNTS STILL WANT TO LIE &amp; TALK SHIT,twitter,1,dont like much least keep name fucking mouth 20 years old amp cunts still want lie amp talk shit,if you dont like me that much then at least keep my name out of your fucking mouth we are 20 years old amp cunts still want to lie amp talk shit
231,"@sonic_hedgehog Happy Birthday Sonic! Congrats on the big 25 years. Wait, does that mean Sonic's 25? What's that make Eggman? 60? #AskSonic",twitter,0,happy birthday sonic congrats big 25 years wait mean sonic 25 make eggman 60 asksonic,happy birthday sonic congrats on the big 25 years wait does that mean sonic 25 what that make eggman 60 asksonic
232,Destiny 2 Beta Code Giveaway! ends at 15 rts!,twitter,0,destiny 2 beta code giveaway ends 15 rts,destiny 2 beta code giveaway ends at 15 rts
233,Who's celebrating my 20th with me?,twitter,1,celebrating 20th,who celebrating my 20th with me
234,#elektra porn star nude girls age 11 https://t.co/k0TcGbD6o2,twitter,0,elektra porn star nude girls age 11 https,elektra porn star nude girls age 11 https
235,2018 been so wild it turned me into a Ariana Grande fan at 23 😭,twitter,1,2018 wild turned ariana grande fan 23,2018 been so wild it turned me into a ariana grande fan at 23
236,Is it bad me and my little sister get random dudes to cum in our face #15yearsold #13yearsold #cum #cock #dick #balls #wank #horny #wanktribute #cumtribute #porn #sex #nudes #spank #pussy #tits #ass #boobs #slut #cumslut #cumonme #sexy #nude #teen #jailbait #horny,twitter,0,bad little sister get random dudes cum face 15yearsold 13yearsold cum cock dick balls wank horny wanktribute cumtribute porn sex nudes spank pussy tits ass boobs slut cumslut cumonme sexy nude teen jailbait horny,is it bad me and my little sister get random dudes to cum in our face 15yearsold 13yearsold cum cock dick balls wank horny wanktribute cumtribute porn sex nudes spank pussy tits ass boobs slut cumslut cumonme sexy nude teen jailbait horny
237,I was learning how to walk again at 18 lol https://t.co/ZH17j7st8S,twitter,0,learning walk 18 lol https,i was learning how to walk again at 18 lol https
238,I asked for a cold brew maker and a stove top espresso maker for my 21st lmao,twitter,1,asked cold brew maker stove top espresso maker 21st lmao,i asked for a cold brew maker and a stove top espresso maker for my 21st lmao
239,"I know 48 isn’t a milestone birthday, but I feel like this year was a big one. So grateful and teary.  Happy Birthday to me. I wish I had a time machine so I could tell 15 yo me all about it.",twitter,1,know 48 milestone birthday feel like year big one grateful teary happy birthday wish time machine could tell 15 yo,i know 48 isn t a milestone birthday but i feel like this year was a big one so grateful and teary happy birthday to me i wish i had a time machine so i could tell 15 yo me all about it
240,"https://t.co/7ljbXvyrL0 September 05, 2016 at 07:33PM September 05, 2016 at 07:33PM September 05, 2016 at 07:33PM September 05, 2016 at 07…",twitter,0,https september 05 2016 september 05 2016 september 05 2016 september 05 2016,https september 05 2016 at september 05 2016 at september 05 2016 at september 05 2016 at
241,i want to look right for my 21st and build me self esteem 🙂,twitter,1,want look right 21st build self esteem,i want to look right for my 21st and build me self esteem
242,#ESPN currently has the Bears at 18 https://t.co/UBXh7LMNgm,twitter,0,espn currently bears 18 https,espn currently has the bears at 18 https
243,At 24 my mom had 4 kids and was married lol https://t.co/eAl6M9n2ua,twitter,0,24 mom 4 kids married lol https,at 24 my mom had 4 kids and was married lol https
244,Cute lunch with my cute bo for my 19th 🎈🎈🎈#Birthyay https://t.co/xToaeZCXmH,twitter,1,cute lunch cute bo 19th birthyay https,cute lunch with my cute bo for my 19th birthyay https
245,@funder @TheDemCoalition What about the 13 y/o girl he was accused of raping  a while back?  Believed to be at an Epstein party.  Trump threatened her and her family afterwards.  There was a settlement.,twitter,0,13 girl accused raping back believed epstein party trump threatened family afterwards settlement,what about the 13 girl he was accused of raping a while back believed to be at an epstein party trump threatened her and her family afterwards there was a settlement
246,The one I'm (hopefully) getting myself for my next birthday! #Scorpio #Tattoo #30 http://t.co/umQ5axDmG4,twitter,1,one hopefully getting next birthday scorpio tattoo 30 http,the one i hopefully getting myself for my next birthday scorpio tattoo 30 http
247,71 years old and still look good👏🏾👌🏾,twitter,0,71 years old still look,71 years old and still look
248,I'm still tripping on this lil young girl told me to get on her level lol girl you 20 years old WHAT U GOT? Its obvi she don't know me,twitter,0,still tripping lil young girl told get level lol girl 20 years old u got obvi know,i still tripping on this lil young girl told me to get on her level lol girl you 20 years old what u got its obvi she do know me
249,@Goldenskater39 Like literally my house is set at 76 almost all day.,twitter,0,like literally house set 76 almost day,like literally my house is set at 76 almost all day
250,Wearing a tutu at 31 and WINNING! http://t.co/M6xib8Y0Ug #beyou #thesparkleprojectbc #ootd #whatiwore #wiw http://t.co/7uMaCJEj3y,twitter,1,wearing tutu 31 winning http beyou thesparkleprojectbc ootd whatiwore wiw http,wearing a tutu at 31 and winning http beyou thesparkleprojectbc ootd whatiwore wiw http
251,Whats the difference between Walcott and Oxlade ?Nothing both will be considered big potential at 32 years of age #Arsenal #Football #GGMU,twitter,0,whats difference walcott oxlade nothing considered big potential 32 years age arsenal football ggmu,whats the difference between walcott and oxlade nothing both will be considered big potential at 32 years of age arsenal football ggmu
252,On my 10th plate now! Oh sushi sushi!! 🍣🍣🍣🍣 https://t.co/0Lu86Yl8gQ,twitter,0,10th plate oh sushi sushi https,on my 10th plate now oh sushi sushi https
253,"I turn 20 tomorrow and honestly, couldn’t be more ready",twitter,1,turn 20 tomorrow honestly ready,i turn 20 tomorrow and honestly couldn t be more ready
254,Niggas turn 21 and get fucked up. I'm turning 21 and finna be helping homeless people. washed,twitter,1,niggas turn 21 get fucked turning 21 finna helping homeless people washed,niggas turn 21 and get fucked up i turning 21 and finna be helping homeless people washed
255,@campbellclaret so true. I got sent to boarding school here - pressure was massive even at 11 years old. You had to drink to fit in.,twitter,0,true got sent boarding school pressure massive even 11 years old drink fit,so true i got sent to boarding school here pressure was massive even at 11 years old you had to drink to fit in
256,IT SAYS SHES 18 YEARS OLD,twitter,0,says shes 18 years old,it says shes 18 years old
257,"@PeoplesPicture That’s fair, it’s just a shame that it’s insinuating that life stops at 35 🤔 I’d have been more than happy to have any age being the #faceofsot - We can learn from people of all ages and everyone’s got a dream and a story",twitter,0,fair shame insinuating life stops 35 happy age faceofsot learn people ages everyone got dream story,that s fair it s just a shame that it s insinuating that life stops at 35 i d have been more than happy to have any age being the faceofsot we can learn from people of all ages and everyone s got a dream and a story
258,Anybody's game tied at 21.,twitter,0,anybody game tied 21,anybody game tied at 21
259,"Happy 19th  birthday, Nicole. Love and miss you.",twitter,0,happy 19th birthday nicole love miss,happy 19th birthday nicole love and miss you
260,We could draw this chart any number of ways but this seems to be good a look as any. Will we test the ceiling at 57? #CL #WTI #OOTT https://t.co/SgiwVIMFWG,twitter,0,could draw chart number ways seems good look test ceiling 57 cl wti oott https,we could draw this chart any number of ways but this seems to be good a look as any will we test the ceiling at 57 cl wti oott https
261,"Happy 18th birthday Leelah Alcorn. We miss you, Rest In Power baby girl💜 https://t.co/XZKuATJoIL",twitter,0,happy 18th birthday leelah alcorn miss rest power baby https,happy 18th birthday leelah alcorn we miss you rest in power baby https
262,"Maine Mendoza ▫️Actress, host, author, lyricist, endorser▫️ CEO of MaineDei Corporation with two McDonald’s branch (McDonald’s Sta. Clara and #MaineMcdoPulongBuhangin) at 23y/o! AT. TWENTY. THREE. YEARS. OLD. Wagi sa life. https://t.co/zZ2DLejyQA",twitter,0,maine mendoza host author lyricist ceo mainedei corporation two mcdonald branch mcdonald sta clara mainemcdopulongbuhangin twenty three years old wagi sa life https,maine mendoza host author lyricist ceo of mainedei corporation with two mcdonald s branch mcdonald s sta clara and mainemcdopulongbuhangin at at twenty three years old wagi sa life https
263,"@ananavarro I keep crying cause my 13 y/o now fears the future. Thank goodness we're in California, she's safer here.",twitter,0,keep crying cause 13 fears future thank goodness california safer,i keep crying cause my 13 now fears the future thank goodness we in california she safer here
264,You show me a 40 year old virgin and I'll show you him at age 12 in the middle of a grocery... https://t.co/KMgmm134kS,twitter,0,show 40 year old virgin show age 12 middle grocery https,you show me a 40 year old virgin and i show you him at age 12 in the middle of a grocery https
265,@Cbaby1333 yaas! I turn 21 in a month and a half soo I will come to Hutch or you come here? KKKKKK? Over Christmas break. Plz Critty Critty,twitter,1,yaas turn 21 month half soo come hutch come kkkkkk christmas break plz critty critty,yaas i turn 21 in a month and a half soo i will come to hutch or you come here kkkkkk over christmas break plz critty critty
266,ppl were doing this so reply if you want uwuname: luisaheight: 5’2 1/4” around 160cm I thinkage: 17birthday: March 11fav group: btssign: piscesfav colors:I have a lot but navy blue or any blue or yellow or red or- really all of em piercings: 0tattoos: 0pets: 2 dogs!,twitter,0,ppl reply want uwuname luisaheight 5 2 around 160cm thinkage 17birthday march 11fav group btssign piscesfav colors lot navy blue blue yellow red really em piercings 0tattoos 0pets 2 dogs,ppl were doing this so reply if you want uwuname luisaheight 5 2 around 160cm i thinkage 17birthday march 11fav group btssign piscesfav colors i have a lot but navy blue or any blue or yellow or red really all of em piercings 0tattoos 0pets 2 dogs
267,Sandy Koufax turns 80 tomorrow! RT for chance at a @TommyBahama @Dodgers shirt &amp; see him with #FranchiseFour at 9pE https://t.co/j59zTrmmNn,twitter,0,sandy koufax turns 80 tomorrow rt chance shirt amp see franchisefour 9pe https,sandy koufax turns 80 tomorrow rt for chance at a shirt amp see him with franchisefour at 9pe https
268,"Despite having to turn 24, 2017 is already shaping up to be a cracker of a year 🍻✈️",twitter,1,despite turn 24 2017 already shaping cracker year,despite having to turn 24 2017 is already shaping up to be a cracker of a year
269,game @ 10 tmrw ay no😩 good thing its at night lol😂,twitter,0,game 10 tmrw ay good thing night,game 10 tmrw ay good thing its at night
270,@Kyle_plantt @heyyobobby I am a 15 yr old,twitter,1,15 yr old,i am a 15 yr old
271,"Almost died this morning between two vehicles bc someone wanted to slam on their breaks at 50 mph for a plastic bag flying across the road. Bud, just hit the bag.",twitter,0,almost died morning two vehicles bc someone wanted slam breaks 50 mph plastic bag flying across road bud hit bag,almost died this morning between two vehicles bc someone wanted to slam on their breaks at 50 mph for a plastic bag flying across the road bud just hit the bag
272,21st birthday can't come soon enough.,twitter,1,21st birthday ca come soon enough,21st birthday ca come soon enough
273,"18 days till my birthday 🎉 The big 1 9. Man, I feel old. LOL!",twitter,1,18 days till birthday big 1 man feel old lol,18 days till my birthday the big 1 man i feel old lol
274,Making my tea today I know to REMOVE THE TEA BAG before drinking. The only reason I know the proper way to make tea at age 40 is because @dnstewart67 told me. On Twitter. The internet is rad. #TwitterMagic @marywaggon,twitter,1,making tea today know remove tea bag drinking reason know proper way make tea age 40 told twitter internet rad twittermagic,making my tea today i know to remove the tea bag before drinking the only reason i know the proper way to make tea at age 40 is because told me on twitter the internet is rad twittermagic
275,"I was raped at 15 by this older lady after I declined her sexual advances, I told her I didnt feel like having sex and her words to me were ""I would make you love sex so much"" while she was on top of me.See my life now.",twitter,0,raped 15 older lady declined sexual advances told didnt feel like sex words would make love sex much top life,i was raped at 15 by this older lady after i declined her sexual advances i told her i didnt feel like having sex and her words to me were i would make you love sex so much while she was on top of my life now
276,@B_PinkFlamgo Ewwwwwwww. I work 4-12 today and 5-12 tomorrow,twitter,0,ewwwwwwww work today tomorrow,ewwwwwwww i work today and tomorrow
277,"You're a legend hayden, i love and miss you everyday. Happy 18th birthday🎉 #hs97",twitter,0,legend hayden love miss everyday happy 18th hs97,you a legend hayden i love and miss you everyday happy 18th hs97
278,@allahgittibeyin 25 years old 👀👀 fake fans 😂,twitter,0,25 years old fake fans,25 years old fake fans
279,"WM terrorist; 21 yrs old. Millennial. ""Old"" racists dying doesn't end anti-Blackness or alter racism. https://t.co/IRtdiJLWO0 #AMEShooting",twitter,0,wm terrorist 21 yrs old millennial old racists dying end alter racism https ameshooting,wm terrorist 21 yrs old millennial old racists dying does end or alter racism https ameshooting
280,Welll it's February which means I'll be turning 25 &amp; another Valentine's Day single.😏 #vdaybaby 🤷🏼‍♀️,twitter,1,welll february means turning 25 amp another valentine day vdaybaby,welll it february which means i be turning 25 amp another valentine day vdaybaby
281,@MistaOowl You don't even want to know what age 30 and above looks like. Lol.,twitter,0,even want know age 30 looks like lol,you do even want to know what age 30 and above looks like lol
282,Thank you to thereallyrealelp and @killermike my 30th bday party had the live stream of Run the… https://t.co/b9TzyBoFaF,twitter,0,thank thereallyrealelp 30th bday party live stream run https,thank you to thereallyrealelp and my 30th bday party had the live stream of run https
283,my birthday being on New Years won't be fun fun till im turning 21.,twitter,0,birthday new years wo fun fun till im turning 21,my birthday being on new years wo be fun fun till im turning 21
284,Frank Kelly got his drivers license at the age of 16. Seconds.,twitter,0,frank kelly got drivers license age seconds,frank kelly got his drivers license at the age of seconds
285,I'm 32yrs old ain't never been stupid.. obviously these bitches think I am!,twitter,1,32yrs old ai never stupid obviously bitches think,i 32yrs old ai never been stupid obviously these bitches think i am
286,@sophiawut In February of last year they euthanized their oldest elephant Packy who was 54 years old simply because he wasn’t making them money like they younger elephants were. They needlessly murdered him only because they weren’t profiting off of him anymore :(,twitter,0,february last year euthanized oldest elephant packy 54 years old simply making money like younger elephants needlessly murdered profiting anymore,in february of last year they euthanized their oldest elephant packy who was 54 years old simply because he wasn t making them money like they younger elephants were they needlessly murdered him only because they weren t profiting off of him anymore
287,I turn 23 in two months and don’t got shit planned,twitter,1,turn 23 two months got shit planned,i turn 23 in two months and don t got shit planned
288,But I heard @NaughtyDerek turned 50 today (?) 😂 https://t.co/o4ialncbVH,twitter,0,heard turned 50 today https,but i heard turned 50 today https
289,turning 17 yiz 😂😂😁,twitter,1,turning 17 yiz,turning 17 yiz
290,"@70s90s 16, (17 in 25 days) living life without societies pressures https://t.co/gAPSSca9N9",twitter,1,16 17 25 days living life without societies pressures https,16 17 in 25 days living life without societies pressures https
291,"@TINtinizing when you turn 18, I'll see you behind bars na agad :(",twitter,0,turn 18 see behind bars na agad,when you turn 18 i see you behind bars na agad
292,I just realized I don't have friends so when I turn 21 I'll probably be at home drunk alone 😒,twitter,1,realized friends turn 21 probably home drunk alone,i just realized i do have friends so when i turn 21 i probably be at home drunk alone
293,I can’t wait for my little sister to turn 21 so we can go on a vacay together,twitter,0,wait little sister turn 21 go vacay together,i can t wait for my little sister to turn 21 so we can go on a vacay together
294,Therapy? at @Sonisphere just made my 14 year old self's life!,twitter,0,therapy made 14 year old self life,therapy at just made my 14 year old self life
295,Tomorrow’s the 21st which is 3 months till my due date...it’s also bens 22nd birthday and it’s his first birthday that he’s not celebrating down here😥,twitter,0,tomorrow 21st 3 months till due date also bens 22nd birthday first birthday celebrating,tomorrow s the 21st which is 3 months till my due date it s also bens 22nd birthday and it s his first birthday that he s not celebrating down
296,What an eventful day. So proud of my girl being chosen for the Conference and my boy turning 14. Emotional to say the least. I'm exhausted 😂😂.,twitter,0,eventful day proud girl chosen conference boy turning emotional say least exhausted,what an eventful day so proud of my girl being chosen for the conference and my boy turning emotional to say the least i exhausted
297,Shame to you 80years old woman.,twitter,0,shame 80years old woman,shame to you 80years old woman
298,Spending my birthday in Cabo with my new little friend 😍🦎🎊 #22 @… https://t.co/Ir0p4Ik9yz,twitter,1,spending birthday cabo new little friend 22 https,spending my birthday in cabo with my new little friend 22 https
299,hello. twiddles thumbs and sighs. my name is karlie ( group says hi karlie ) i’m 21 years old and i have a confession ( group says what it be? ) my confession is that i’ve never seen the movie titanic.,twitter,1,hello twiddles thumbs sighs name karlie group says hi karlie 21 years old confession group says confession never seen movie titanic,hello twiddles thumbs and sighs my name is karlie group says hi karlie i m 21 years old and i have a confession group says what it be my confession is that i ve never seen the movie titanic
300,"Pretty sure I'm the only person over the age of 11 who has never seen ""The Matrix(s)""... I don't even know if there's more than 1...#Matrix",twitter,0,pretty sure person age 11 never seen matrix even know 1 matrix,pretty sure i the only person over the age of 11 who has never seen the matrix s i do even know if there more than 1 matrix
301,#WeSupportYouJ_HOPE@BTS_twt  I will SUPPORT YOU EVEN WHEN IM 90Y.O,twitter,0,support even im,i will support you even when im
302,I'm not missing out on life because I had a baby at 22. Partying every weekend and getting drunk as shit never really appealed to me.,twitter,1,missing life baby partying every weekend getting drunk shit never really appealed,i not missing out on life because i had a baby at partying every weekend and getting drunk as shit never really appealed to me
303,"Sir Roger Moore, the suave face of James Bond, has died at age 89.@annenbcnews reflects now on @NBCNightlyNews. https://t.co/tJnT1tOwtX",twitter,0,sir roger moore suave face james bond died age reflects https,sir roger moore the suave face of james bond has died at age reflects now on https
304,imagine being able to spend this amount of money at 18 https://t.co/8PbLAXH0tv,twitter,0,imagine able spend amount money 18 https,imagine being able to spend this amount of money at 18 https
305,@ManFRIDAY_ @BonkinJ @noribudge @SwearyGodmother Yep. I was an 11yo girl. I spent a lot of time in changing rooms with other 11yo girls. My two children were both 11yo girls. They had the same experiences. And a man thinks he knows better than us whether an 11yo girl would masturbate in public?,twitter,0,yep 11yo girl spent lot time changing rooms 11yo girls two children 11yo girls experiences man thinks knows better us whether 11yo girl would masturbate public,yep i was an 11yo girl i spent a lot of time in changing rooms with other 11yo girls my two children were both 11yo girls they had the same experiences and a man thinks he knows better than us whether an 11yo girl would masturbate in public
306,before the crown sends their muscle please know i was like 24 years old and Suits was my favorite show i had to at least try or id never be able to live with myself  please dont kill me,twitter,0,crown sends muscle please know like 24 years old suits favorite show least try id never able live please dont kill,before the crown sends their muscle please know i was like 24 years old and suits was my favorite show i had to at least try or id never be able to live with myself please dont kill me
307,"16 years old, still waiting to be a mermaid, vampire, werewolf, witch or anything #GrowingUpTvShowsAddict",twitter,1,16 years old still waiting mermaid vampire werewolf witch anything growinguptvshowsaddict,16 years old still waiting to be a mermaid vampire werewolf witch or anything growinguptvshowsaddict
308,@m_white14 When Clemson gets Smith you gonna act like a 12yo girl &amp; make up stories to help feel better? Or just keep whining like a bitch?,twitter,0,clemson gets smith gon na act like 12yo girl amp make stories help feel better keep whining like bitch,when clemson gets smith you gon na act like a 12yo girl amp make up stories to help feel better or just keep whining like a bitch
309,Is getting your first credit card at 29 years old a bad thing? #money #business #finance https://t.co/51Ne1QBuPi,twitter,1,getting first credit card 29 years old bad thing money business finance https,is getting your first credit card at 29 years old a bad thing money business finance https
310,females be looking for a whole husband at 18 kmsl,twitter,0,females looking whole husband 18 kmsl,females be looking for a whole husband at 18 kmsl
311,They hatin on me cus I'm 12 years old! Fuckin old head,twitter,1,hatin cus 12 years old fuckin old head,they hatin on me cus i 12 years old fuckin old head
312,@asshhhlllyyynnn My birthday isn't until July 22,twitter,0,birthday july 22,my birthday is until july 22
313,Michael from #SurvivorGhostIsland at age 18 vs. me at age 18. #Survivor https://t.co/L0ya97oSnn,twitter,0,michael survivorghostisland age 18 age 18 survivor https,michael from survivorghostisland at age 18 me at age 18 survivor https
314,"#puppy My old girl, Baby. She was 14 years old, had no teeth and had a missing toe because a few years ago she chased a rabbit in front of a combine. This morning, I received a call from home saying Baby was gone. My heart aches. Rest sweetly my beautiful Baby. https://t.co/7UfqOsiL5o",twitter,0,puppy old girl baby 14 years old teeth missing toe years ago chased rabbit front combine morning received call home saying baby gone heart aches rest sweetly beautiful baby https,puppy my old girl baby she was 14 years old had no teeth and had a missing toe because a few years ago she chased a rabbit in front of a combine this morning i received a call from home saying baby was gone my heart aches rest sweetly my beautiful baby https
315,"When it comes to AG...I am a 15 yr old fangirl who screams when she tweets or does anything, tbh.",twitter,0,comes ag 15 yr old fangirl screams tweets anything tbh,when it comes to ag i am a 15 yr old fangirl who screams when she tweets or does anything tbh
316,Almost 40 years old and people still have to do EVERYTHING for you. Sober tf up.,twitter,0,almost 40 years old people still everything sober tf,almost 40 years old and people still have to do everything for you sober tf up
317,"and I thought that when I turn 20 my life will turn into a ‘bbyong’ spectacular but I was wrong. The college exam and turning 20 were not that big of a deal. So don’t be nervous, it’s really nothing. If you don’t know any of the short-answer math questions https://t.co/MZQ7Tnl2oh",twitter,0,thought turn 20 life turn bbyong spectacular wrong college exam turning 20 big deal nervous really nothing know math questions https,and i thought that when i turn 20 my life will turn into a bbyong spectacular but i was wrong the college exam and turning 20 were not that big of a deal so don t be nervous it s really nothing if you don t know any of the math questions https
318,"@KEEMSTAR Because its a game for kids, why are you playing it at 30 years old?",twitter,0,game kids playing 30 years old,because its a game for kids why are you playing it at 30 years old
319,Muslim Parents; please keep children under age of 13 away from tonight's debate for their emotional well being. #Debates2016 #debatenight,twitter,0,muslim parents please keep children age 13 away tonight debate emotional well debates2016 debatenight,muslim parents please keep children under age of 13 away from tonight debate for their emotional well being debates2016 debatenight
320,I moved out my ppls house at 17 never moved back. I will live in east Atlanta zone 6's worst project before I consider moving back.,twitter,0,moved ppls house 17 never moved back live east atlanta zone 6 worst project consider moving back,i moved out my ppls house at 17 never moved back i will live in east atlanta zone 6 worst project before i consider moving back
321,"Mourning the passing of legendary @ABC correspondent Cokie Roberts, who passed away at the age of 75.  She was a true pioneer of the business, and a revered colleague.",twitter,0,mourning passing legendary correspondent cokie roberts passed away age true pioneer business revered colleague,mourning the passing of legendary correspondent cokie roberts who passed away at the age of she was a true pioneer of the business and a revered colleague
322,2-hour naps on Sunday are unavoidable at 27 years old.,twitter,1,naps sunday unavoidable 27 years old,naps on sunday are unavoidable at 27 years old
323,"i used to think i was so cool for doing this, why was i allowed to exist at 16",twitter,0,used think cool allowed exist 16,i used to think i was so cool for doing this why was i allowed to exist at 16
324,When i turn 19 DT aint gonna know what hit em 😭😂 just wait,twitter,1,turn 19 dt aint gon na know hit em wait,when i turn 19 dt aint gon na know what hit em just wait
325,"@WWEThatsNotPG Yeah, I've had knee problems since I was 13. Slightly knock kneed, played volleyball and catcher in softball. Definitely feeling it at 30.",twitter,1,yeah knee problems since slightly knock kneed played volleyball catcher softball definitely feeling 30,yeah i had knee problems since i was slightly knock kneed played volleyball and catcher in softball definitely feeling it at 30
326,I turned 21 almost 8 years ago yo,twitter,1,turned 21 almost 8 years ago yo,i turned 21 almost 8 years ago yo
327,"@emilyst OMG I'm turning 35 too, I thought I had run out of birthdays that unlock things",twitter,1,omg turning 35 thought run birthdays unlock things,omg i turning 35 too i thought i had run out of birthdays that unlock things
328,Describe who you want to be at age 30 — A beautiful strong hardworking mother married who’s wealthy https://t.co/EvexyrJKqW,twitter,0,describe want age 30 beautiful strong hardworking mother married wealthy https,describe who you want to be at age 30 a beautiful strong hardworking mother married who s wealthy https
329,"@leahbinder Has anyone reached out to you about SAFE (@SafeStand), medical professionals and students calling for the epidemic of firearms violence to be handled as a Public Health crisis? NEXT MONDAY, 9/17: demonstrations and ed. sessions at 40 medical centers. Want Details?",twitter,0,anyone reached safe medical professionals students calling epidemic firearms violence handled public health crisis next monday demonstrations ed sessions 40 medical centers want details,has anyone reached out to you about safe medical professionals and students calling for the epidemic of firearms violence to be handled as a public health crisis next monday demonstrations and ed sessions at 40 medical centers want details
330,"BREAKING &gt; Dutch football legend, #JohanCruyff has died at the age of 68 following his battle with cancer",twitter,0,breaking gt dutch football legend johancruyff died age 68 following battle cancer,breaking gt dutch football legend johancruyff has died at the age of 68 following his battle with cancer
331,@wkdgoodcupcakes today is my sons 19th bdayfirst time I've not been with him. Thanks to you when he gets home today there will b a surprise!,twitter,0,today sons 19th bdayfirst time thanks gets home today b surprise,today is my sons 19th bdayfirst time i not been with him thanks to you when he gets home today there will b a surprise
332,24 years of age and a canny eat my dinner without dropping it all over myself. Kill me.,twitter,1,24 years age canny eat dinner without dropping kill,24 years of age and a canny eat my dinner without dropping it all over myself kill me
333,After much debate and convincing from @918effect &amp; @currypoker I’m happy to announce that I’ll be going to the J vs J fan meeting in Bangkok!! 😆 Can’t wait! It’ll be on my birthday weekend so I’ll be able to spend turning 21 with the boys 😂 #LeeJonghyun #LeeJungshin #cnblue https://t.co/fGq93vgRDW,twitter,1,much debate convincing amp happy announce going j vs j fan meeting bangkok wait birthday weekend able spend turning 21 boys leejonghyun leejungshin cnblue https,after much debate and convincing from amp i m happy to announce that i ll be going to the j vs j fan meeting in bangkok can t wait it ll be on my birthday weekend so i ll be able to spend turning 21 with the boys leejonghyun leejungshin cnblue https
334,How pathetic is it that since I turned 21 I haven't gone to a bar even once. But when I was 18 I was going to bars.,twitter,1,pathetic since turned 21 gone bar even 18 going bars,how pathetic is it that since i turned 21 i have gone to a bar even once but when i was 18 i was going to bars
335,Happy 16th birthday quim!🎉🎊🎉🎊have a blast today!☺️🎊🎉🎊 @Haquimm,twitter,0,happy 16th birthday quim blast today,happy 16th birthday quim a blast today
336,"breaking, daniel ratcliffe makes headlines for the grand achievement of turning 30",twitter,0,breaking daniel ratcliffe makes headlines grand achievement turning 30,breaking daniel ratcliffe makes headlines for the grand achievement of turning 30
337,I turn 21 in 5 days..☠️,twitter,1,turn 21 5 days,i turn 21 in 5 days
338,"@tobyjack  That  will do it, my grandmother died of it, emphysema at 67, smoked from when she was 12.",twitter,0,grandmother died emphysema 67 smoked 12,that will do it my grandmother died of it emphysema at 67 smoked from when she was 12
339,@benff why does the 11yo have to be psychic?,twitter,0,11yo psychic,why does the 11yo have to be psychic
340,budgeting $50 a week on food is really hard,twitter,0,budgeting 50 week food really hard,budgeting 50 a week on food is really hard
341,"When you turn 21 and you take your ""first"" shothttps://t.co/7mbhEXAOqW",twitter,1,turn 21 take first shothttps,when you turn 21 and you take your first shothttps
342,Happy Birthday to ME!  55 years young...I am so glad to be able to see another year.  The Lord has blessed me in... https://t.co/xjuFbHZz4C,twitter,1,happy birthday 55 years young glad able see another year lord blessed https,happy birthday to me 55 years young i am so glad to be able to see another year the lord has blessed me in https
343,Last night for big cuzz bday. Last night was litty. My blood cousin ... 🤷🏽‍♀️😘😘#33 #may2nd https://t.co/VCrr50v92Y,twitter,0,last night big cuzz bday last night litty blood cousin 33 may2nd https,last night for big cuzz bday last night was litty my blood cousin 33 may2nd https
344,How my inner monologue feels about turning 30 https://t.co/tYC6ZDrDs8,twitter,1,inner monologue feels turning 30 https,how my inner monologue feels about turning 30 https
345,Don't forget #DespicableMe3 hits @AMCTheatres Legends 14 tomorrow!,twitter,0,forget despicableme3 hits legends 14 tomorrow,do forget despicableme3 hits legends 14 tomorrow
346,The best part about sharing a birthday with one of your best friends is the guaranteed good times! I’ve been celebrating with @JaredEummer since we turned 20 &amp; I can’t name one bad time. So with that being said meet us in DC!!!!,twitter,0,best part sharing birthday one best friends guaranteed good times celebrating since turned 20 amp name one bad time said meet us dc,the best part about sharing a birthday with one of your best friends is the guaranteed good times i ve been celebrating with since we turned 20 amp i can t name one bad time so with that being said meet us in dc
347,@MfZook 10 years old or 10 years older :),twitter,0,10 years old 10 years older,10 years old or 10 years older
